,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
63,63,-0.2380937966697716,0.1298168289197294,2024-05-10 17:54:50.998924,2024-05-10 17:55:02.627923,0 days 00:00:11.628999,14,59,97,1,COMPLETE
64,64,-0.39927205412439165,0.13149387943177185,2024-05-10 17:55:02.629919,2024-05-10 17:55:11.040034,0 days 00:00:08.410115,79,32,156,1,COMPLETE
65,65,0.47368044851489105,0.07929592267542393,2024-05-10 17:55:11.049264,2024-05-10 17:55:20.986625,0 days 00:00:09.937361,99,24,66,1,COMPLETE
66,66,0.12429481999422107,0.10412912857030229,2024-05-10 17:55:20.995032,2024-05-10 17:55:35.049218,0 days 00:00:14.054186,48,88,128,1,COMPLETE
67,67,0.09925465675343788,0.1118667653752452,2024-05-10 17:55:35.056036,2024-05-10 17:55:41.757297,0 days 00:00:06.701261,70,19,22,1,COMPLETE
68,68,0.22247010711365078,0.09285865507361198,2024-05-10 17:55:41.759318,2024-05-10 17:55:50.066104,0 days 00:00:08.306786,49,25,47,1,COMPLETE
69,69,-0.08421155022989305,0.12218507144263284,2024-05-10 17:55:50.070287,2024-05-10 17:56:01.751682,0 days 00:00:11.681395,78,188,204,1,COMPLETE
70,70,0.36806472350322245,0.09261328785408043,2024-05-10 17:56:01.757280,2024-05-10 17:56:09.580336,0 days 00:00:07.823056,62,90,121,1,COMPLETE
71,71,-0.26208524359873797,0.13653929487947403,2024-05-10 17:56:09.583329,2024-05-10 17:56:18.996425,0 days 00:00:09.413096,56,94,143,1,COMPLETE
72,72,0.24548012822658266,0.09827272429592468,2024-05-10 17:56:18.998735,2024-05-10 17:56:33.166788,0 days 00:00:14.168053,26,43,139,1,COMPLETE
73,73,-0.4232221998242188,0.13036103845047706,2024-05-10 17:56:33.170585,2024-05-10 17:56:46.411509,0 days 00:00:13.240924,30,86,164,1,COMPLETE
74,74,-0.07149585651226328,0.12363605551386567,2024-05-10 17:56:46.416368,2024-05-10 17:57:01.403100,0 days 00:00:14.986732,38,9,10,1,COMPLETE
75,75,-4.198633798272848,0.2508923630840396,2024-05-10 17:57:01.406701,2024-05-10 17:57:09.427622,0 days 00:00:08.020921,10,63,66,1,COMPLETE
76,76,-20.549205301318505,0.4091877459448362,2024-05-10 17:57:09.431747,2024-05-10 17:57:18.066612,0 days 00:00:08.634865,6,30,71,1,COMPLETE
77,77,-0.5141752610135539,0.14166516536269452,2024-05-10 17:57:18.071584,2024-05-10 17:57:25.622526,0 days 00:00:07.550942,52,140,143,1,COMPLETE
78,78,0.16450820077812903,0.10524341965923625,2024-05-10 17:57:25.627043,2024-05-10 17:57:32.321536,0 days 00:00:06.694493,77,37,49,1,COMPLETE
79,79,0.33259530732628123,0.09372479274848142,2024-05-10 17:57:32.321536,2024-05-10 17:57:44.550410,0 days 00:00:12.228874,90,177,210,1,COMPLETE
80,80,-0.002223663677914156,0.11469879459662728,2024-05-10 17:57:44.551409,2024-05-10 17:57:55.106374,0 days 00:00:10.554965,87,48,156,1,COMPLETE
81,81,-16.65453821864621,0.4632879310505139,2024-05-10 17:57:55.111512,2024-05-10 17:58:07.009062,0 days 00:00:11.897550,9,62,205,1,COMPLETE
82,82,0.3347520036580331,0.09449205084797822,2024-05-10 17:58:07.011115,2024-05-10 17:58:15.454867,0 days 00:00:08.443752,30,97,99,1,COMPLETE
83,83,-0.11624229554578447,0.12128710604516275,2024-05-10 17:58:15.458764,2024-05-10 17:58:23.590085,0 days 00:00:08.131321,77,96,108,1,COMPLETE
84,84,-0.021371713596407126,0.11467617308563519,2024-05-10 17:58:23.599929,2024-05-10 17:58:31.881441,0 days 00:00:08.281512,80,33,58,1,COMPLETE
85,85,-12.166403042693704,0.34668450165943776,2024-05-10 17:58:31.886547,2024-05-10 17:58:41.979099,0 days 00:00:10.092552,7,93,166,1,COMPLETE
86,86,-0.14583438072186106,0.11704813246704693,2024-05-10 17:58:41.980716,2024-05-10 17:58:50.840126,0 days 00:00:08.859410,73,5,10,1,COMPLETE
87,87,-1.5490802108846689,0.14198342956479512,2024-05-10 17:58:50.844117,2024-05-10 17:59:00.666921,0 days 00:00:09.822804,47,169,172,1,COMPLETE
88,88,-0.03904895017664822,0.11558689757692409,2024-05-10 17:59:00.668918,2024-05-10 17:59:12.499602,0 days 00:00:11.830684,41,83,156,1,COMPLETE
89,89,-13.866870777572345,0.36703083528363234,2024-05-10 17:59:12.508797,2024-05-10 17:59:22.138340,0 days 00:00:09.629543,4,8,25,1,COMPLETE
90,90,-0.04994300300597243,0.12210218325107106,2024-05-10 17:59:22.142709,2024-05-10 17:59:35.539947,0 days 00:00:13.397238,55,112,181,1,COMPLETE
91,91,0.00427169312359017,0.11310410231727981,2024-05-10 17:59:35.549780,2024-05-10 17:59:47.629272,0 days 00:00:12.079492,14,19,201,1,COMPLETE
92,92,-0.27724729412270405,0.1245187530847649,2024-05-10 17:59:47.629272,2024-05-10 17:59:57.561449,0 days 00:00:09.932177,17,79,147,1,COMPLETE
93,93,-2.1481314830080462,0.21638459897980042,2024-05-10 17:59:57.568433,2024-05-10 17:59:58.472326,0 days 00:00:00.903893,56,1,128,1,COMPLETE
94,94,-0.21312023489622503,0.12877925252481642,2024-05-10 17:59:58.476577,2024-05-10 18:00:10.953159,0 days 00:00:12.476582,84,4,33,1,COMPLETE
95,95,0.1005678561575909,0.1002821607732125,2024-05-10 18:00:10.958668,2024-05-10 18:00:18.953247,0 days 00:00:07.994579,63,35,124,1,COMPLETE
96,96,0.4490737586237863,0.08123169208305173,2024-05-10 18:00:18.957940,2024-05-10 18:00:31.653585,0 days 00:00:12.695645,41,58,205,1,COMPLETE
97,97,-0.3254508171010033,0.1263491784186152,2024-05-10 18:00:31.658347,2024-05-10 18:00:38.517749,0 days 00:00:06.859402,36,8,114,1,COMPLETE
98,98,0.11809944906621397,0.10359626881996313,2024-05-10 18:00:38.522263,2024-05-10 18:00:49.288507,0 days 00:00:10.766244,37,46,102,1,COMPLETE
99,99,-1.036253364169983,0.16756517954177266,2024-05-10 18:00:49.290508,2024-05-10 18:00:54.836318,0 days 00:00:05.545810,68,6,54,1,COMPLETE
100,100,0.2592589242887319,0.09616482090149461,2024-05-10 18:00:54.838895,2024-05-10 18:01:02.429330,0 days 00:00:07.590435,90,44,63,2,COMPLETE
101,101,-0.5560615723468842,0.1378075029667618,2024-05-10 18:01:02.437474,2024-05-10 18:01:09.890617,0 days 00:00:07.453143,47,4,121,2,COMPLETE
102,102,-0.8471038892453111,0.16486407552328047,2024-05-10 18:01:09.924053,2024-05-10 18:01:13.916562,0 days 00:00:03.992509,73,3,38,2,COMPLETE
103,103,0.521747349618614,0.07849244567394298,2024-05-10 18:01:13.921285,2024-05-10 18:01:23.269673,0 days 00:00:09.348388,78,36,49,2,COMPLETE
104,104,0.05624506500426962,0.10841397819102697,2024-05-10 18:01:23.279493,2024-05-10 18:01:29.668587,0 days 00:00:06.389094,95,29,55,2,COMPLETE
105,105,0.3987116484787837,0.0831653295866571,2024-05-10 18:01:29.678716,2024-05-10 18:01:49.071323,0 days 00:00:19.392607,41,16,93,2,COMPLETE
106,106,0.36090039264584384,0.08941439803053894,2024-05-10 18:01:49.074918,2024-05-10 18:01:58.589852,0 days 00:00:09.514934,79,10,21,2,COMPLETE
107,107,0.003903080410688231,0.11974523722260097,2024-05-10 18:01:58.589852,2024-05-10 18:02:06.551292,0 days 00:00:07.961440,87,128,163,2,COMPLETE
108,108,-0.7327329925620164,0.15091200339126995,2024-05-10 18:02:06.557802,2024-05-10 18:02:14.005723,0 days 00:00:07.447921,90,97,123,2,COMPLETE
109,109,-2.4471679744111023,0.21100357045601434,2024-05-10 18:02:14.010190,2024-05-10 18:02:19.997548,0 days 00:00:05.987358,24,89,142,2,COMPLETE
110,110,-5.481664911484723,0.2977341299147828,2024-05-10 18:02:19.999544,2024-05-10 18:02:24.960338,0 days 00:00:04.960794,3,20,93,2,COMPLETE
111,111,-0.7502774957273836,0.1560441365665625,2024-05-10 18:02:24.967043,2024-05-10 18:02:32.309374,0 days 00:00:07.342331,63,2,8,2,COMPLETE
112,112,-1.0834228842283427,0.173456917122339,2024-05-10 18:02:32.323052,2024-05-10 18:02:39.759739,0 days 00:00:07.436687,74,2,49,2,COMPLETE
113,113,0.37926673657770027,0.0902579742532185,2024-05-10 18:02:39.768360,2024-05-10 18:02:49.667686,0 days 00:00:09.899326,44,81,210,2,COMPLETE
114,114,-0.40158803679309846,0.13578362204034317,2024-05-10 18:02:49.669679,2024-05-10 18:03:00.286161,0 days 00:00:10.616482,37,3,10,2,COMPLETE
