,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
52,52,-23.059100543851372,9.981947030062569e-05,2024-05-16 12:32:06.585607,2024-05-16 12:32:08.743103,0 days 00:00:02.157496,65,187,1,COMPLETE
53,53,-12.204537726587436,7.434186957173876e-05,2024-05-16 12:32:08.744100,2024-05-16 12:32:10.974033,0 days 00:00:02.229933,43,129,1,COMPLETE
54,54,-2.955842544193027,3.6579027298856484e-05,2024-05-16 12:32:10.977595,2024-05-16 12:32:12.711468,0 days 00:00:01.733873,12,124,1,COMPLETE
55,55,-4.213164204013699,4.32986278225005e-05,2024-05-16 12:32:12.715946,2024-05-16 12:32:14.685404,0 days 00:00:01.969458,3,116,1,COMPLETE
56,56,-17.137406720417918,8.569576943018856e-05,2024-05-16 12:32:14.686814,2024-05-16 12:32:17.160390,0 days 00:00:02.473576,44,54,1,COMPLETE
57,57,-18.072947936134774,8.942285780548443e-05,2024-05-16 12:32:17.164979,2024-05-16 12:32:19.772649,0 days 00:00:02.607670,66,8,1,COMPLETE
58,58,-5.6158536004029544,4.9850867681377064e-05,2024-05-16 12:32:19.774598,2024-05-16 12:32:21.867468,0 days 00:00:02.092870,3,62,1,COMPLETE
59,59,-8.653768137266983,6.182354538418429e-05,2024-05-16 12:32:21.868599,2024-05-16 12:32:24.209426,0 days 00:00:02.340827,29,52,1,COMPLETE
60,60,-17.867388521113753,8.874374652329456e-05,2024-05-16 12:32:24.210104,2024-05-16 12:32:28.255079,0 days 00:00:04.044975,54,203,1,COMPLETE
61,61,-12.896554043423901,7.611259951243708e-05,2024-05-16 12:32:28.257107,2024-05-16 12:32:30.939604,0 days 00:00:02.682497,60,8,1,COMPLETE
62,62,-19.543422943955633,9.052643339354416e-05,2024-05-16 12:32:30.943851,2024-05-16 12:32:34.288680,0 days 00:00:03.344829,91,51,1,COMPLETE
63,63,-6.778900085062152,5.582518446797699e-05,2024-05-16 12:32:34.290644,2024-05-16 12:32:36.742628,0 days 00:00:02.451984,28,145,1,COMPLETE
64,64,-5.053278419910334,4.5895072620091845e-05,2024-05-16 12:32:36.743626,2024-05-16 12:32:38.834395,0 days 00:00:02.090769,22,111,1,COMPLETE
65,65,-19.668849113369,9.109826191110611e-05,2024-05-16 12:32:38.836757,2024-05-16 12:32:41.461158,0 days 00:00:02.624401,83,206,1,COMPLETE
66,66,-9.462951880142082,6.44354302128577e-05,2024-05-16 12:32:41.468908,2024-05-16 12:32:43.553916,0 days 00:00:02.085008,34,143,1,COMPLETE
67,67,-36.052191971233896,0.0001220601671493666,2024-05-16 12:32:43.559543,2024-05-16 12:32:46.076059,0 days 00:00:02.516516,86,67,1,COMPLETE
68,68,-23.76072239620062,0.00010100340014115533,2024-05-16 12:32:46.077795,2024-05-16 12:32:48.891353,0 days 00:00:02.813558,96,206,1,COMPLETE
69,69,-18.686178743943017,8.962582154475841e-05,2024-05-16 12:32:48.894579,2024-05-16 12:32:51.558320,0 days 00:00:02.663741,44,101,1,COMPLETE
70,70,-71.3505055617846,0.0001607577401083426,2024-05-16 12:32:51.559982,2024-05-16 12:32:53.652503,0 days 00:00:02.092521,97,91,1,COMPLETE
71,71,-5.41038882731757,4.955356485793572e-05,2024-05-16 12:32:53.654280,2024-05-16 12:32:55.955738,0 days 00:00:02.301458,23,54,1,COMPLETE
72,72,-35.137796674984585,0.00012280362266791587,2024-05-16 12:32:55.958220,2024-05-16 12:32:58.325432,0 days 00:00:02.367212,77,61,1,COMPLETE
