,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,params_use_boxcox,system_attrs_nsga2:generation,state
73,73,-0.40767873981399705,0.14099060232068036,2024-05-16 08:19:52.513917,2024-05-16 08:19:59.045037,0 days 00:00:06.531120,58,0.8766978547073949,0.206251431041237,True,1,COMPLETE
74,74,-0.08197355271171432,0.11821577453865348,2024-05-16 08:19:59.048149,2024-05-16 08:20:00.735905,0 days 00:00:01.687756,52,0.3113761930660923,0.3767230226227367,False,1,COMPLETE
75,75,0.32374342624380253,0.09374271190671779,2024-05-16 08:20:00.737899,2024-05-16 08:20:04.672234,0 days 00:00:03.934335,31,0.8815382014493156,0.06693206732750656,False,1,COMPLETE
76,76,-0.15848116612846772,0.11974764668616023,2024-05-16 08:20:04.673705,2024-05-16 08:20:07.115220,0 days 00:00:02.441515,93,0.3921447449747041,0.4114277405311313,True,1,COMPLETE
77,77,-0.6089343775634459,0.14563174051828653,2024-05-16 08:20:07.117722,2024-05-16 08:20:09.286844,0 days 00:00:02.169122,20,0.7142018300296177,0.996087924204789,True,1,COMPLETE
78,78,-1.110705973470118,0.17200485226683654,2024-05-16 08:20:09.288782,2024-05-16 08:20:12.060596,0 days 00:00:02.771814,79,0.12204434991091684,0.5797875113407709,False,1,COMPLETE
79,79,-0.26212821698788685,0.12875201747330617,2024-05-16 08:20:12.062747,2024-05-16 08:20:15.210668,0 days 00:00:03.147921,81,0.2371819942477017,0.23282147141826715,False,1,COMPLETE
80,80,-0.9340949793204676,0.16006349559799612,2024-05-16 08:20:15.212424,2024-05-16 08:20:18.296193,0 days 00:00:03.083769,58,0.2493810503959154,0.43776005475302393,True,1,COMPLETE
81,81,0.12470540709322875,0.11121907407847234,2024-05-16 08:20:18.298250,2024-05-16 08:20:23.958703,0 days 00:00:05.660453,55,0.8271162716629962,0.008529744117448335,False,1,COMPLETE
82,82,0.24281522746439638,0.10205920068970506,2024-05-16 08:20:23.959886,2024-05-16 08:20:28.617297,0 days 00:00:04.657411,77,0.8815382014493156,0.06693206732750656,True,1,COMPLETE
83,83,-5.853683478192445,0.24447007365508627,2024-05-16 08:20:28.620290,2024-05-16 08:20:30.244393,0 days 00:00:01.624103,45,0.29766005938419293,0.8676576060042794,False,1,COMPLETE
84,84,0.1128014791505318,0.11088874605738522,2024-05-16 08:20:30.247504,2024-05-16 08:20:34.147105,0 days 00:00:03.899601,52,0.7949874873712804,0.9483548979403488,False,1,COMPLETE
85,85,-0.4891018648691058,0.12990733330025675,2024-05-16 08:20:34.150198,2024-05-16 08:20:36.971873,0 days 00:00:02.821675,43,0.6127370442950446,0.23257737858841776,False,1,COMPLETE
86,86,0.31911961797842614,0.0978732473851876,2024-05-16 08:20:36.973868,2024-05-16 08:20:42.319267,0 days 00:00:05.345399,85,0.8965634370266353,0.18773922746579486,True,1,COMPLETE
87,87,-1.006960699017652,0.1664202879203726,2024-05-16 08:20:42.321141,2024-05-16 08:20:42.799083,0 days 00:00:00.477942,14,0.059927517125390684,0.16947407872040776,True,1,COMPLETE
88,88,-0.7047853587073541,0.15369792739057475,2024-05-16 08:20:42.801046,2024-05-16 08:20:45.922617,0 days 00:00:03.121571,34,0.3156612228605098,0.7062916286405434,True,1,COMPLETE
89,89,-0.4225541269612993,0.1374740509645343,2024-05-16 08:20:45.924247,2024-05-16 08:20:50.042925,0 days 00:00:04.118678,75,0.310693526635477,0.04640382933194709,True,1,COMPLETE
90,90,-0.43769666539690977,0.13893929082589118,2024-05-16 08:20:50.043923,2024-05-16 08:20:52.919455,0 days 00:00:02.875532,70,0.9299615356649236,0.7584878539858644,True,1,COMPLETE
91,91,-0.37393828259225614,0.13940094210063772,2024-05-16 08:20:52.920657,2024-05-16 08:20:53.358842,0 days 00:00:00.438185,10,0.0037871646884365395,0.9483548979403488,True,1,COMPLETE
92,92,-0.12907760498633225,0.1068348480610958,2024-05-16 08:20:53.359840,2024-05-16 08:20:57.316357,0 days 00:00:03.956517,34,0.3808925512097452,0.0691359911652889,False,1,COMPLETE
93,93,0.030830924199905452,0.11643863626162503,2024-05-16 08:20:57.317355,2024-05-16 08:20:59.458030,0 days 00:00:02.140675,52,0.8963994392275162,0.37311279228276073,True,1,COMPLETE
94,94,-1.976116190924896,0.20113629714640732,2024-05-16 08:20:59.459484,2024-05-16 08:21:01.478467,0 days 00:00:02.018983,31,0.37987866377040946,0.08100163139857519,False,1,COMPLETE
95,95,-1.074010873228584,0.17560515591859022,2024-05-16 08:21:01.480461,2024-05-16 08:21:03.706526,0 days 00:00:02.226065,93,0.12193569986346442,0.5701088545420935,True,1,COMPLETE
96,96,-0.5223881020841116,0.13090257348158482,2024-05-16 08:21:03.707640,2024-05-16 08:21:06.746975,0 days 00:00:03.039335,79,0.6449203247302502,0.48367857533340586,False,1,COMPLETE
97,97,0.16371240100571705,0.1041295435566254,2024-05-16 08:21:06.749061,2024-05-16 08:21:12.099151,0 days 00:00:05.350090,32,0.8271162716629962,0.29107485132868416,True,1,COMPLETE
98,98,-0.1277739121852401,0.11710595397552633,2024-05-16 08:21:12.101145,2024-05-16 08:21:14.184755,0 days 00:00:02.083610,31,0.4589112274372561,0.5552644449207176,False,1,COMPLETE
99,99,-0.8222389662084428,0.15909009549710124,2024-05-16 08:21:14.186581,2024-05-16 08:21:17.475134,0 days 00:00:03.288553,63,0.1850198164994521,0.056677497000538146,True,1,COMPLETE
100,100,-0.3680326654172273,0.13456885179403832,2024-05-16 08:21:17.476131,2024-05-16 08:21:21.004545,0 days 00:00:03.528414,58,0.47142547551301817,0.8599165851262598,True,2,COMPLETE
101,101,-1.8146463872030545,0.1857624445732339,2024-05-16 08:21:21.006540,2024-05-16 08:21:22.913682,0 days 00:00:01.907142,34,0.3808925512097452,0.22603774772591212,False,2,COMPLETE
102,102,-2.4077361777003934,0.19114442314617963,2024-05-16 08:21:22.915756,2024-05-16 08:21:25.089024,0 days 00:00:02.173268,75,0.8961890436229181,0.46174181266688563,False,2,COMPLETE
103,103,-0.780337927821809,0.15606573347987246,2024-05-16 08:21:25.090149,2024-05-16 08:21:27.297741,0 days 00:00:02.207592,39,0.4879319062745462,0.4589221096227811,False,2,COMPLETE
104,104,-0.5368394236175585,0.13793132740039915,2024-05-16 08:21:27.299675,2024-05-16 08:21:29.787352,0 days 00:00:02.487677,56,0.8783739866129597,0.9679936754213936,True,2,COMPLETE
105,105,0.5426110907085505,0.07623546494021123,2024-05-16 08:21:29.788784,2024-05-16 08:21:37.534053,0 days 00:00:07.745269,32,0.6127370442950446,0.941236161838664,True,2,COMPLETE
106,106,0.24629322358352246,0.10139246640433416,2024-05-16 08:21:37.536048,2024-05-16 08:21:41.759027,0 days 00:00:04.222979,85,0.7949874873712804,0.27262932616117297,False,2,COMPLETE
107,107,-1.5059002732162075,0.17171579259130199,2024-05-16 08:21:41.760855,2024-05-16 08:21:43.885825,0 days 00:00:02.124970,99,0.9745573768214442,0.09529769336515159,True,2,COMPLETE
108,108,-0.5122505908518813,0.13872729899916228,2024-05-16 08:21:43.887882,2024-05-16 08:21:47.085919,0 days 00:00:03.198037,52,0.4589112274372561,0.6192046122649707,False,2,COMPLETE
109,109,0.31928873220013143,0.09578100749899501,2024-05-16 08:21:47.087916,2024-05-16 08:21:51.409971,0 days 00:00:04.322055,93,0.8963994392275162,0.6156340061396348,True,2,COMPLETE
110,110,0.07922880939103598,0.11073952832234087,2024-05-16 08:21:51.410967,2024-05-16 08:21:54.451819,0 days 00:00:03.040852,58,0.5320904792789163,0.4114277405311313,False,2,COMPLETE
111,111,0.07258211971761055,0.09821504365323779,2024-05-16 08:21:54.454811,2024-05-16 08:21:56.672306,0 days 00:00:02.217495,77,0.7524101194981472,0.24630302076686028,True,2,COMPLETE
112,112,-0.8390422928659232,0.1530874175204642,2024-05-16 08:21:56.673845,2024-05-16 08:21:59.078688,0 days 00:00:02.404843,32,0.8312616653625509,0.7584878539858644,False,2,COMPLETE
