,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
50,50,-4061.43405893573,0.000927892691493176,2024-05-16 13:20:42.263830,2024-05-16 13:20:52.497914,0 days 00:00:10.234084,912,66,73,1,COMPLETE
51,51,-6528.351008110346,0.0009935810605994292,2024-05-16 13:20:52.498911,2024-05-16 13:21:00.109995,0 days 00:00:07.611084,758,50,98,1,COMPLETE
52,52,-16.1764082073812,8.346584245325784e-05,2024-05-16 13:21:00.112015,2024-05-16 13:21:06.815070,0 days 00:00:06.703055,279,51,161,1,COMPLETE
53,53,-18917.55655262163,0.0014798374534001797,2024-05-16 13:21:06.816041,2024-05-16 13:21:15.303239,0 days 00:00:08.487198,863,46,130,1,COMPLETE
54,54,-370.0011528948281,0.00028949402888404165,2024-05-16 13:21:15.305701,2024-05-16 13:21:19.682028,0 days 00:00:04.376327,411,21,139,1,COMPLETE
55,55,-20.45576728493005,9.245472561971776e-05,2024-05-16 13:21:19.684030,2024-05-16 13:21:24.548438,0 days 00:00:04.864408,231,44,95,1,COMPLETE
56,56,-400260.81657385535,0.0062589275846423945,2024-05-16 13:21:24.553179,2024-05-16 13:21:32.455917,0 days 00:00:07.902738,745,38,172,1,COMPLETE
57,57,-14.349697964131689,7.742702123032615e-05,2024-05-16 13:21:32.457912,2024-05-16 13:21:38.411524,0 days 00:00:05.953612,255,58,62,1,COMPLETE
58,58,-716436.2783755909,0.008342204163545764,2024-05-16 13:21:38.413517,2024-05-16 13:21:48.997487,0 days 00:00:10.583970,849,83,189,1,COMPLETE
59,59,-3267.104519493098,0.0006793905039573138,2024-05-16 13:21:48.998816,2024-05-16 13:21:53.966025,0 days 00:00:04.967209,562,27,71,1,COMPLETE
60,60,-89.11390557287183,0.0001930911794884394,2024-05-16 13:21:53.968220,2024-05-16 13:22:00.091819,0 days 00:00:06.123599,555,35,110,1,COMPLETE
61,61,-195.98926041242996,0.0002872434037763819,2024-05-16 13:22:00.094240,2024-05-16 13:22:12.835442,0 days 00:00:12.741202,890,69,154,1,COMPLETE
62,62,-3.7301383922731572,4.1910073075443575e-05,2024-05-16 13:22:12.837437,2024-05-16 13:22:16.586868,0 days 00:00:03.749431,6,35,144,1,COMPLETE
63,63,-469.91413886728543,0.0003815546131141938,2024-05-16 13:22:16.591994,2024-05-16 13:22:29.598896,0 days 00:00:13.006902,573,164,197,1,COMPLETE
64,64,-27736.724943648715,0.0017488703746937405,2024-05-16 13:22:29.599895,2024-05-16 13:22:35.451119,0 days 00:00:05.851224,573,44,139,1,COMPLETE
65,65,-84.18981400553037,0.00016318305417869773,2024-05-16 13:22:35.452564,2024-05-16 13:22:41.926277,0 days 00:00:06.473713,290,71,83,1,COMPLETE
66,66,-78.52567957434759,0.00014134355928751698,2024-05-16 13:22:41.927057,2024-05-16 13:22:48.699639,0 days 00:00:06.772582,281,72,189,1,COMPLETE
67,67,-150.16480321933767,0.0002469833744126691,2024-05-16 13:22:48.701078,2024-05-16 13:22:56.225357,0 days 00:00:07.524279,807,33,104,1,COMPLETE
68,68,-105.63649629499045,0.00016321456469361407,2024-05-16 13:22:56.227350,2024-05-16 13:23:00.460750,0 days 00:00:04.233400,103,34,53,1,COMPLETE
69,69,-3394.4087223274146,0.0008755874514795821,2024-05-16 13:23:00.462745,2024-05-16 13:23:12.186129,0 days 00:00:11.723384,699,93,101,1,COMPLETE
70,70,-23.027231448070005,9.881169643844985e-05,2024-05-16 13:23:12.188124,2024-05-16 13:23:16.818670,0 days 00:00:04.630546,228,9,44,1,COMPLETE
71,71,-60.378217824565,0.00015739497181740727,2024-05-16 13:23:16.822617,2024-05-16 13:23:21.850549,0 days 00:00:05.027932,437,21,24,1,COMPLETE
72,72,-3270.768367287278,0.0008179962197413943,2024-05-16 13:23:21.857773,2024-05-16 13:23:27.405188,0 days 00:00:05.547415,623,21,111,1,COMPLETE
73,73,-305.55011804455677,0.0003564181541304909,2024-05-16 13:23:27.407451,2024-05-16 13:23:36.973081,0 days 00:00:09.565630,793,60,145,1,COMPLETE
74,74,-1167.5583487973631,0.0005774195925540052,2024-05-16 13:23:36.975038,2024-05-16 13:23:44.707022,0 days 00:00:07.731984,966,11,17,1,COMPLETE
75,75,-4.925018770252472,4.67503381229153e-05,2024-05-16 13:23:44.709769,2024-05-16 13:23:47.336026,0 days 00:00:02.626257,6,3,3,1,COMPLETE
76,76,-101842.63045046527,0.003315815901135608,2024-05-16 13:23:47.337023,2024-05-16 13:23:56.182045,0 days 00:00:08.845022,775,47,57,1,COMPLETE
77,77,-274.4963711971263,0.0003436214018019788,2024-05-16 13:23:56.186648,2024-05-16 13:24:11.960132,0 days 00:00:15.773484,765,142,142,1,COMPLETE
78,78,-1050.594388489719,0.00042533930889431307,2024-05-16 13:24:11.963881,2024-05-16 13:24:16.804309,0 days 00:00:04.840428,381,4,14,1,COMPLETE
79,79,-731.7997815481465,0.0003279051415698762,2024-05-16 13:24:16.807955,2024-05-16 13:24:24.048582,0 days 00:00:07.240627,168,93,142,1,COMPLETE
80,80,-96594.4448854513,0.004740977328013421,2024-05-16 13:24:24.050705,2024-05-16 13:24:33.452115,0 days 00:00:09.401410,914,8,10,1,COMPLETE
81,81,-128.4071107944235,0.00021527500235476947,2024-05-16 13:24:33.457303,2024-05-16 13:24:44.893100,0 days 00:00:11.435797,566,134,158,1,COMPLETE
82,82,-16.107430708930522,6.832554811236941e-05,2024-05-16 13:24:44.901990,2024-05-16 13:24:49.607572,0 days 00:00:04.705582,4,66,66,1,COMPLETE
83,83,-85.08388481661245,0.00018640903824865084,2024-05-16 13:24:49.610672,2024-05-16 13:24:55.837245,0 days 00:00:06.226573,426,77,104,1,COMPLETE
84,84,-989.4194178342617,0.00042303001101212976,2024-05-16 13:24:55.839449,2024-05-16 13:24:59.536530,0 days 00:00:03.697081,191,25,53,1,COMPLETE
85,85,-300.64636248368197,0.00035625187850812766,2024-05-16 13:24:59.538297,2024-05-16 13:25:07.729072,0 days 00:00:08.190775,956,27,88,1,COMPLETE
86,86,-20.690723835291408,9.40969579398714e-05,2024-05-16 13:25:07.734057,2024-05-16 13:25:13.242994,0 days 00:00:05.508937,165,69,159,1,COMPLETE
87,87,-499.82923541168867,0.0004147144883767721,2024-05-16 13:25:13.243992,2024-05-16 13:25:23.819210,0 days 00:00:10.575218,868,90,142,1,COMPLETE
88,88,-67.26386677897133,0.00016544744475218077,2024-05-16 13:25:23.820343,2024-05-16 13:25:27.272843,0 days 00:00:03.452500,363,1,4,1,COMPLETE
89,89,-31661.2666376457,0.0018413966256342292,2024-05-16 13:25:27.274836,2024-05-16 13:25:31.455991,0 days 00:00:04.181155,454,3,108,1,COMPLETE
90,90,-17.526349459471795,8.685862920381706e-05,2024-05-16 13:25:31.457988,2024-05-16 13:25:35.474719,0 days 00:00:04.016731,214,28,127,1,COMPLETE
91,91,-1314.6239798818951,0.0005508657064930746,2024-05-16 13:25:35.476863,2024-05-16 13:25:42.970518,0 days 00:00:07.493655,607,44,186,1,COMPLETE
92,92,-42632.523400342536,0.002225255841346981,2024-05-16 13:25:42.972512,2024-05-16 13:25:59.982489,0 days 00:00:17.009977,991,188,189,1,COMPLETE
93,93,-65.70379389761055,0.00013122724762573777,2024-05-16 13:25:59.984483,2024-05-16 13:26:03.324122,0 days 00:00:03.339639,165,13,61,1,COMPLETE
94,94,-215.9276457946668,0.0002910945012475414,2024-05-16 13:26:03.326084,2024-05-16 13:26:09.273641,0 days 00:00:05.947557,615,30,133,1,COMPLETE
95,95,-298807.3250553155,0.00552194785533292,2024-05-16 13:26:09.276706,2024-05-16 13:26:13.933897,0 days 00:00:04.657191,505,1,3,1,COMPLETE
96,96,-15.90258459439571,8.421362694455657e-05,2024-05-16 13:26:13.935892,2024-05-16 13:26:19.517576,0 days 00:00:05.581684,258,39,62,1,COMPLETE
97,97,-78.37661181024916,0.00015052531632350996,2024-05-16 13:26:19.520533,2024-05-16 13:26:26.608196,0 days 00:00:07.087663,299,58,62,1,COMPLETE
98,98,-5.616172935366937,4.948933517798888e-05,2024-05-16 13:26:26.614651,2024-05-16 13:26:32.675721,0 days 00:00:06.061070,21,77,185,1,COMPLETE
99,99,-21.450154778391926,9.640762241169273e-05,2024-05-16 13:26:32.677684,2024-05-16 13:26:36.703160,0 days 00:00:04.025476,162,23,24,1,COMPLETE
100,100,-758.3176709545548,0.0004171885587806256,2024-05-16 13:26:36.705622,2024-05-16 13:26:40.612269,0 days 00:00:03.906647,363,2,13,2,COMPLETE
101,101,-128.02733691875687,0.00023868428266713196,2024-05-16 13:26:40.613997,2024-05-16 13:26:46.316335,0 days 00:00:05.702338,528,28,120,2,COMPLETE
102,102,-27374.832254523615,0.002444251748934054,2024-05-16 13:26:46.318330,2024-05-16 13:26:54.481127,0 days 00:00:08.162797,555,52,106,2,COMPLETE
103,103,-991.1856279230944,0.0005377271985823318,2024-05-16 13:26:54.485118,2024-05-16 13:27:01.561014,0 days 00:00:07.075896,931,1,24,2,COMPLETE
104,104,-40.684346647908704,0.00013475174588063561,2024-05-16 13:27:01.563024,2024-05-16 13:27:06.632084,0 days 00:00:05.069060,370,5,24,2,COMPLETE
105,105,-113.75410709995636,0.0002076825427099939,2024-05-16 13:27:06.634081,2024-05-16 13:27:19.567587,0 days 00:00:12.933506,576,148,158,2,COMPLETE
106,106,-473.9699794612129,0.00026810303094602445,2024-05-16 13:27:19.570060,2024-05-16 13:27:23.240854,0 days 00:00:03.670794,173,14,140,2,COMPLETE
107,107,-36.89007449961094,0.00010996466249662296,2024-05-16 13:27:23.247324,2024-05-16 13:27:32.288584,0 days 00:00:09.041260,345,129,158,2,COMPLETE
108,108,-219.44244673942654,0.00022642692588296766,2024-05-16 13:27:32.290579,2024-05-16 13:27:35.685840,0 days 00:00:03.395261,299,9,21,2,COMPLETE
109,109,-29041.77404483754,0.0016652612709801048,2024-05-16 13:27:35.688236,2024-05-16 13:27:40.673186,0 days 00:00:04.984950,290,51,83,2,COMPLETE
110,110,-4820.665119016818,0.000641385254628862,2024-05-16 13:27:40.679765,2024-05-16 13:27:47.331443,0 days 00:00:06.651678,23,104,139,2,COMPLETE
111,111,-13.042484769106442,7.595845330249859e-05,2024-05-16 13:27:47.333094,2024-05-16 13:27:50.013770,0 days 00:00:02.680676,37,9,19,2,COMPLETE
112,112,-4.103863409635129,4.1546557551216254e-05,2024-05-16 13:27:50.015763,2024-05-16 13:27:57.029766,0 days 00:00:07.014003,6,120,144,2,COMPLETE
