,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
90,90,-0.21589710237944254,0.005445378048909289,2024-05-18 14:22:48.879447,2024-05-18 14:22:51.586014,0 days 00:00:02.706567,491,0.2872477928571312,1,COMPLETE
91,91,-0.9284386214676873,0.007061369862692698,2024-05-18 14:22:51.586014,2024-05-18 14:22:53.496705,0 days 00:00:01.910691,188,0.4153468860640661,1,COMPLETE
92,92,-0.9337107424203829,0.00699942312859092,2024-05-18 14:22:53.496705,2024-05-18 14:22:55.468239,0 days 00:00:01.971534,247,0.9239882795395423,1,COMPLETE
93,93,-0.34219204597720154,0.0060102463732050375,2024-05-18 14:22:55.468239,2024-05-18 14:22:57.765036,0 days 00:00:02.296797,374,0.2721799647933443,1,COMPLETE
94,94,-0.44079324394513575,0.0058146506423918075,2024-05-18 14:22:57.765036,2024-05-18 14:23:00.318400,0 days 00:00:02.553364,378,0.7696768921853696,1,COMPLETE
95,95,-0.7533674187249954,0.0067245799726009916,2024-05-18 14:23:00.333144,2024-05-18 14:23:05.773404,0 days 00:00:05.440260,726,0.48084281261595685,1,COMPLETE
96,96,-0.6213047994007228,0.006402330965721829,2024-05-18 14:23:05.775398,2024-05-18 14:23:07.663796,0 days 00:00:01.888398,56,0.9695508119995737,1,COMPLETE
97,97,-1.194470424492296,0.007664868895260163,2024-05-18 14:23:07.663796,2024-05-18 14:23:09.629989,0 days 00:00:01.966193,64,0.025993057345463755,1,COMPLETE
98,98,-6.554488759702245,0.011811321046914847,2024-05-18 14:23:09.629989,2024-05-18 14:23:13.141019,0 days 00:00:03.511030,541,0.2335881470645247,1,COMPLETE
99,99,-1.0515172396348222,0.007485323398128643,2024-05-18 14:23:13.141019,2024-05-18 14:23:15.988457,0 days 00:00:02.847438,340,0.5643303474407816,1,COMPLETE
100,100,-0.3112664702775739,0.005803484434403351,2024-05-18 14:23:15.988457,2024-05-18 14:23:21.893419,0 days 00:00:05.904962,994,0.8834265871129517,2,COMPLETE
101,101,-0.6258855007476066,0.006633598999237931,2024-05-18 14:23:21.896411,2024-05-18 14:23:27.164280,0 days 00:00:05.267869,770,0.43706090350376037,2,COMPLETE
102,102,-0.25603418299537484,0.005693975959416241,2024-05-18 14:23:27.166277,2024-05-18 14:23:33.118661,0 days 00:00:05.952384,971,0.30814854003418424,2,COMPLETE
103,103,-0.29166757776465213,0.005888046726311173,2024-05-18 14:23:33.118661,2024-05-18 14:23:38.070714,0 days 00:00:04.952053,685,0.5581203309121645,2,COMPLETE
104,104,-0.8771103399411577,0.006912062518673806,2024-05-18 14:23:38.072710,2024-05-18 14:23:44.293136,0 days 00:00:06.220426,918,0.2735653947929273,2,COMPLETE
105,105,-0.600439859468227,0.006424628524513214,2024-05-18 14:23:44.293136,2024-05-18 14:23:46.952052,0 days 00:00:02.658916,340,0.25873806459304804,2,COMPLETE
106,106,-0.42583326757264245,0.006118644855333476,2024-05-18 14:23:46.962477,2024-05-18 14:23:49.595428,0 days 00:00:02.632951,244,0.4793474740625989,2,COMPLETE
107,107,-1.235496919462144,0.007716922875720346,2024-05-18 14:23:49.595428,2024-05-18 14:23:51.659365,0 days 00:00:02.063937,132,0.1897965120599433,2,COMPLETE
108,108,-0.7196906895146385,0.006613843590716003,2024-05-18 14:23:51.659365,2024-05-18 14:23:53.559671,0 days 00:00:01.900306,108,0.4742136325432218,2,COMPLETE
109,109,-0.7602431164321883,0.006905898765272649,2024-05-18 14:23:53.561666,2024-05-18 14:23:55.908632,0 days 00:00:02.346966,358,0.24711413076015687,2,COMPLETE
110,110,-0.3362806829495474,0.00589770020033854,2024-05-18 14:23:55.908632,2024-05-18 14:23:58.117197,0 days 00:00:02.208565,305,0.2758632087197752,2,COMPLETE
111,111,-0.9230236377683729,0.006977975945133512,2024-05-18 14:23:58.117197,2024-05-18 14:24:03.456059,0 days 00:00:05.338862,816,0.7087737942871889,2,COMPLETE
