,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
74,74,-0.5258562527675332,0.15314754339013076,2024-05-10 16:41:22.716326,2024-05-10 16:41:24.812545,0 days 00:00:02.096219,19,134,1,COMPLETE
75,75,-1.5658033657849137,0.17203339291300082,2024-05-10 16:41:24.816535,2024-05-10 16:41:27.315557,0 days 00:00:02.499022,12,182,1,COMPLETE
76,76,-0.9083588126964642,0.16136530940599775,2024-05-10 16:41:27.315557,2024-05-10 16:41:30.647435,0 days 00:00:03.331878,46,113,1,COMPLETE
77,77,-0.5667909834815783,0.13639049522499141,2024-05-10 16:41:30.663230,2024-05-10 16:41:32.154597,0 days 00:00:01.491367,15,116,1,COMPLETE
78,78,-0.5566839948301215,0.14540352218196484,2024-05-10 16:41:32.158504,2024-05-10 16:41:42.901889,0 days 00:00:10.743385,99,98,1,COMPLETE
79,79,-0.3559038669499205,0.13899426532438433,2024-05-10 16:41:42.905847,2024-05-10 16:41:45.309181,0 days 00:00:02.403334,16,139,1,COMPLETE
80,80,-0.7575178937212674,0.15743602864626785,2024-05-10 16:41:45.309181,2024-05-10 16:41:52.912575,0 days 00:00:07.603394,99,5,1,COMPLETE
81,81,-1.7502326954022842,0.20289696779757826,2024-05-10 16:41:52.916567,2024-05-10 16:41:57.801482,0 days 00:00:04.884915,34,144,1,COMPLETE
82,82,-4.590503590119819,0.23843998942216332,2024-05-10 16:41:57.801482,2024-05-10 16:41:58.717024,0 days 00:00:00.915542,24,190,1,COMPLETE
83,83,-2.833643004887387,0.23064910291831056,2024-05-10 16:41:58.720753,2024-05-10 16:41:59.202371,0 days 00:00:00.481618,25,148,1,COMPLETE
84,84,-1.1396380676257274,0.17903319294091283,2024-05-10 16:41:59.206326,2024-05-10 16:42:03.616033,0 days 00:00:04.409707,70,103,1,COMPLETE
85,85,-0.7242203059025207,0.1564623675593881,2024-05-10 16:42:03.616033,2024-05-10 16:42:12.003009,0 days 00:00:08.386976,97,203,1,COMPLETE
86,86,-1.2356130446924687,0.16945030685926077,2024-05-10 16:42:12.011400,2024-05-10 16:42:19.319949,0 days 00:00:07.308549,27,134,1,COMPLETE
87,87,-1.8590498043266652,0.19860802328819432,2024-05-10 16:42:19.325545,2024-05-10 16:42:26.876007,0 days 00:00:07.550462,83,200,1,COMPLETE
88,88,-0.47739122296355896,0.142246215513197,2024-05-10 16:42:26.883148,2024-05-10 16:42:28.351096,0 days 00:00:01.467948,11,72,1,COMPLETE
89,89,-40.9418982991552,0.49634149893542123,2024-05-10 16:42:28.355474,2024-05-10 16:42:32.333445,0 days 00:00:03.977971,69,110,1,COMPLETE
90,90,-0.23402218630312963,0.11012738119646322,2024-05-10 16:42:32.338350,2024-05-10 16:42:33.542734,0 days 00:00:01.204384,3,76,1,COMPLETE
91,91,-1.0871980781583808,0.17389400257844156,2024-05-10 16:42:33.547612,2024-05-10 16:42:38.997283,0 days 00:00:05.449671,73,16,1,COMPLETE
92,92,-1.614494947524173,0.1876205983737223,2024-05-10 16:42:39.001238,2024-05-10 16:42:41.336911,0 days 00:00:02.335673,32,89,1,COMPLETE
93,93,-0.35281431290496573,0.13477900897145872,2024-05-10 16:42:41.339870,2024-05-10 16:42:42.737310,0 days 00:00:01.397440,11,72,1,COMPLETE
94,94,-0.8743342128679469,0.16089835782869785,2024-05-10 16:42:42.741300,2024-05-10 16:42:49.839987,0 days 00:00:07.098687,89,42,1,COMPLETE
95,95,-0.37174797056444875,0.13794152334583518,2024-05-10 16:42:49.846919,2024-05-10 16:42:51.451430,0 days 00:00:01.604511,12,201,1,COMPLETE
96,96,-1.4114156794996027,0.18556644263103067,2024-05-10 16:42:51.455768,2024-05-10 16:42:56.332852,0 days 00:00:04.877084,83,207,1,COMPLETE
97,97,-1.2893358241909731,0.18366817249481943,2024-05-10 16:42:56.337125,2024-05-10 16:43:02.540010,0 days 00:00:06.202885,94,126,1,COMPLETE
98,98,-0.7015416551431699,0.1486126126721776,2024-05-10 16:43:02.540010,2024-05-10 16:43:05.891296,0 days 00:00:03.351286,15,179,1,COMPLETE
99,99,-2.602406821545472,0.2029899584337175,2024-05-10 16:43:05.902858,2024-05-10 16:43:07.625378,0 days 00:00:01.722520,19,134,1,COMPLETE
100,100,-1.2458773670569714,0.17889779652767798,2024-05-10 16:43:07.629971,2024-05-10 16:43:11.122226,0 days 00:00:03.492255,40,201,2,COMPLETE
101,101,-1.7629420144410202,0.18700732062725453,2024-05-10 16:43:11.124685,2024-05-10 16:43:12.951940,0 days 00:00:01.827255,41,85,2,COMPLETE
102,102,-0.2503815066672998,0.115201735762214,2024-05-10 16:43:12.951940,2024-05-10 16:43:14.332315,0 days 00:00:01.380375,3,145,2,COMPLETE
103,103,-0.9322353408953468,0.16905751358001392,2024-05-10 16:43:14.336328,2024-05-10 16:43:18.615905,0 days 00:00:04.279577,89,194,2,COMPLETE
104,104,-2.184064713675558,0.20616049907290152,2024-05-10 16:43:18.622778,2024-05-10 16:43:25.685813,0 days 00:00:07.063035,62,72,2,COMPLETE
105,105,-0.20185192548460051,0.11490132132938355,2024-05-10 16:43:25.692064,2024-05-10 16:43:27.314204,0 days 00:00:01.622140,5,37,2,COMPLETE
106,106,-3.0791037457938755,0.21733325432796252,2024-05-10 16:43:27.325012,2024-05-10 16:43:28.328593,0 days 00:00:01.003581,23,100,2,COMPLETE
107,107,-0.874662767320393,0.16679258262879124,2024-05-10 16:43:28.328593,2024-05-10 16:43:29.421492,0 days 00:00:01.092899,19,81,2,COMPLETE
108,108,-1.1017786084067125,0.17291008027851879,2024-05-10 16:43:29.425635,2024-05-10 16:43:34.166844,0 days 00:00:04.741209,76,63,2,COMPLETE
109,109,-1.0549905287775054,0.1676366275127072,2024-05-10 16:43:34.170751,2024-05-10 16:43:45.227787,0 days 00:00:11.057036,56,134,2,COMPLETE
110,110,-1.6761180410645544,0.18968969731383986,2024-05-10 16:43:45.233566,2024-05-10 16:43:51.935672,0 days 00:00:06.702106,51,202,2,COMPLETE
111,111,-2.9959938422275285,0.2333604951636314,2024-05-10 16:43:51.939220,2024-05-10 16:43:54.614796,0 days 00:00:02.675576,43,76,2,COMPLETE
112,112,-0.2701713195449681,0.11240289826141998,2024-05-10 16:43:54.619239,2024-05-10 16:43:55.882941,0 days 00:00:01.263702,3,116,2,COMPLETE
113,113,-1.0913227748239271,0.15966707440157213,2024-05-10 16:43:55.898588,2024-05-10 16:44:03.195340,0 days 00:00:07.296752,55,104,2,COMPLETE
114,114,-1.2898440457367575,0.17407643813915305,2024-05-10 16:44:03.203562,2024-05-10 16:44:08.010916,0 days 00:00:04.807354,63,47,2,COMPLETE
115,115,-2.433699294448755,0.22152126155406196,2024-05-10 16:44:08.027436,2024-05-10 16:44:08.610584,0 days 00:00:00.583148,35,142,2,COMPLETE
116,116,-1.4136810755540352,0.19181012696850766,2024-05-10 16:44:08.626314,2024-05-10 16:44:09.881722,0 days 00:00:01.255408,30,98,2,COMPLETE
117,117,-1.589185924845713,0.18129229253656698,2024-05-10 16:44:09.886113,2024-05-10 16:44:14.290415,0 days 00:00:04.404302,53,27,2,COMPLETE
118,118,-1.355344230669218,0.18634393465253635,2024-05-10 16:44:14.299350,2024-05-10 16:44:15.656465,0 days 00:00:01.357115,24,163,2,COMPLETE
119,119,-0.7097030621051891,0.15773705658340895,2024-05-10 16:44:15.662561,2024-05-10 16:44:16.839320,0 days 00:00:01.176759,15,83,2,COMPLETE
120,120,-0.6297411319190659,0.15760468338663705,2024-05-10 16:44:16.850100,2024-05-10 16:44:18.073013,0 days 00:00:01.222913,11,167,2,COMPLETE
121,121,-0.9596793686045716,0.1685988516193268,2024-05-10 16:44:18.079750,2024-05-10 16:44:26.435913,0 days 00:00:08.356163,87,78,2,COMPLETE
122,122,-0.22806381701800374,0.10371703247321913,2024-05-10 16:44:26.435913,2024-05-10 16:44:29.883528,0 days 00:00:03.447615,3,158,2,COMPLETE
123,123,-2.3132862694548293,0.22145645075408332,2024-05-10 16:44:29.883528,2024-05-10 16:44:30.770506,0 days 00:00:00.886978,26,33,2,COMPLETE
124,124,-2.3775307528404337,0.20984181959694412,2024-05-10 16:44:30.771503,2024-05-10 16:44:31.836132,0 days 00:00:01.064629,20,72,2,COMPLETE
125,125,-1.191729979922103,0.17404074022142874,2024-05-10 16:44:31.841002,2024-05-10 16:44:35.130140,0 days 00:00:03.289138,32,89,2,COMPLETE
126,126,-1.6338254791444846,0.18930524152504594,2024-05-10 16:44:35.134848,2024-05-10 16:44:41.228810,0 days 00:00:06.093962,32,115,2,COMPLETE
127,127,-0.5022391470303595,0.1483889080119233,2024-05-10 16:44:41.233163,2024-05-10 16:44:45.991265,0 days 00:00:04.758102,99,103,2,COMPLETE
128,128,-0.9868864793222704,0.17112224393395173,2024-05-10 16:44:45.995289,2024-05-10 16:44:50.632170,0 days 00:00:04.636881,89,60,2,COMPLETE
129,129,-0.638438731393331,0.1557572808463478,2024-05-10 16:44:50.636800,2024-05-10 16:44:52.241080,0 days 00:00:01.604280,24,98,2,COMPLETE
