,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
55,55,-1.0954458268703031,0.14853030515196816,2024-05-16 07:23:41.789723,2024-05-16 07:23:44.279790,0 days 00:00:02.490067,53,0.7988631722460279,1,COMPLETE
56,56,-2.0345322132972363,0.2019544313377625,2024-05-16 07:23:44.281826,2024-05-16 07:23:45.207034,0 days 00:00:00.925208,90,0.6910350479330608,1,COMPLETE
57,57,-0.41300370986891216,0.13892816413842968,2024-05-16 07:23:45.209030,2024-05-16 07:23:48.472440,0 days 00:00:03.263410,97,0.6444926708282062,1,COMPLETE
58,58,-0.7063854198191085,0.15034563242238472,2024-05-16 07:23:48.473893,2024-05-16 07:23:50.672523,0 days 00:00:02.198630,91,0.15131318253803694,1,COMPLETE
59,59,-1.9891043360789897,0.1918749686577345,2024-05-16 07:23:50.673504,2024-05-16 07:23:51.676804,0 days 00:00:01.003300,42,0.8229562714927089,1,COMPLETE
60,60,0.003466651537705112,0.11856500682588358,2024-05-16 07:23:51.677528,2024-05-16 07:23:54.251716,0 days 00:00:02.574188,66,0.8993982076620489,1,COMPLETE
61,61,-0.9917864176710598,0.16065583023689406,2024-05-16 07:23:54.254918,2024-05-16 07:23:57.175187,0 days 00:00:02.920269,54,0.043663764109656555,1,COMPLETE
62,62,-0.32192471325702654,0.13311669356610578,2024-05-16 07:23:57.178704,2024-05-16 07:24:00.869616,0 days 00:00:03.690912,71,0.7772016640997346,1,COMPLETE
63,63,0.2213822220428142,0.1045617832966225,2024-05-16 07:24:00.871019,2024-05-16 07:24:03.521122,0 days 00:00:02.650103,97,0.9958009128599662,1,COMPLETE
64,64,-0.2829904680097842,0.13185775655061172,2024-05-16 07:24:03.523116,2024-05-16 07:24:06.214053,0 days 00:00:02.690937,76,0.06953761679395543,1,COMPLETE
65,65,0.12940547632949762,0.10976614790157957,2024-05-16 07:24:06.215803,2024-05-16 07:24:08.191942,0 days 00:00:01.976139,52,0.4059677410206354,1,COMPLETE
66,66,-0.8430661904488634,0.15678763698381348,2024-05-16 07:24:08.195548,2024-05-16 07:24:09.702943,0 days 00:00:01.507395,45,0.790701748676197,1,COMPLETE
67,67,0.15448405190379905,0.10797211479131483,2024-05-16 07:24:09.705151,2024-05-16 07:24:12.768277,0 days 00:00:03.063126,71,0.3166710595887352,1,COMPLETE
68,68,0.41747629835735145,0.09110304173102717,2024-05-16 07:24:12.769358,2024-05-16 07:24:15.942114,0 days 00:00:03.172756,60,0.7818126433629602,1,COMPLETE
69,69,-0.49378138595529925,0.14487991198426467,2024-05-16 07:24:15.942869,2024-05-16 07:24:17.852231,0 days 00:00:01.909362,45,0.7033487647690129,1,COMPLETE
70,70,0.07018428571300488,0.1122416907380738,2024-05-16 07:24:17.855360,2024-05-16 07:24:20.644591,0 days 00:00:02.789231,72,0.9250668686470647,1,COMPLETE
71,71,-2.5859369085108783,0.21658454464746052,2024-05-16 07:24:20.646876,2024-05-16 07:24:21.603198,0 days 00:00:00.956322,48,0.7603086512499041,1,COMPLETE
72,72,-0.9105077439261914,0.1530753951136568,2024-05-16 07:24:21.604740,2024-05-16 07:24:23.221604,0 days 00:00:01.616864,92,0.5720582186991324,1,COMPLETE
73,73,0.061192317405989204,0.11521556725567787,2024-05-16 07:24:23.222475,2024-05-16 07:24:26.395600,0 days 00:00:03.173125,72,0.7988631722460279,1,COMPLETE
74,74,-2.231792508412339,0.20234208162099715,2024-05-16 07:24:26.396490,2024-05-16 07:24:27.378644,0 days 00:00:00.982154,65,0.29207474446242476,1,COMPLETE
75,75,-0.38086749208220344,0.1351527777695014,2024-05-16 07:24:27.380597,2024-05-16 07:24:28.855573,0 days 00:00:01.474976,46,0.9608586020551657,1,COMPLETE
76,76,-0.6686962009705179,0.15139976399114352,2024-05-16 07:24:28.857800,2024-05-16 07:24:30.565845,0 days 00:00:01.708045,80,0.29207474446242476,1,COMPLETE
77,77,-0.3301198428259764,0.1308530981154758,2024-05-16 07:24:30.566843,2024-05-16 07:24:32.950656,0 days 00:00:02.383813,77,0.49950528559763596,1,COMPLETE
78,78,-0.032122838709623555,0.11486512519625909,2024-05-16 07:24:32.951653,2024-05-16 07:24:35.566541,0 days 00:00:02.614888,29,0.355630327163997,1,COMPLETE
79,79,-0.18635835463086825,0.12428122835473121,2024-05-16 07:24:35.568051,2024-05-16 07:24:37.032649,0 days 00:00:01.464598,67,0.49950528559763596,1,COMPLETE
80,80,-0.5046205285977056,0.14700842578518156,2024-05-16 07:24:37.038440,2024-05-16 07:24:38.912004,0 days 00:00:01.873564,92,0.4242162151523673,1,COMPLETE
81,81,0.4281372972129983,0.0868553234978655,2024-05-16 07:24:38.917908,2024-05-16 07:24:41.794495,0 days 00:00:02.876587,88,0.7566320591560077,1,COMPLETE
82,82,-0.2574001577156224,0.1297911479980463,2024-05-16 07:24:41.798357,2024-05-16 07:24:44.329609,0 days 00:00:02.531252,63,0.18471547589745274,1,COMPLETE
83,83,0.46956830647818926,0.0838490132685944,2024-05-16 07:24:44.332543,2024-05-16 07:24:50.741928,0 days 00:00:06.409385,43,0.9639382924056547,1,COMPLETE
