,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
52,52,-42.5936033123637,0.01964071375533302,2024-05-18 17:04:13.212145,2024-05-18 17:04:14.795202,0 days 00:00:01.583057,9,0.09193892345711163,0.7232915514834799,1,COMPLETE
53,53,-0.7885291764123499,0.0067573743380688845,2024-05-18 17:04:14.795202,2024-05-18 17:04:19.897579,0 days 00:00:05.102377,932,0.5099041408074233,0.3947185068047774,1,COMPLETE
54,54,-0.5966177542841706,0.0064712747856630615,2024-05-18 17:04:19.897579,2024-05-18 17:04:24.689522,0 days 00:00:04.791943,794,0.7747091101861301,0.9765616167167438,1,COMPLETE
55,55,-0.25092383749393443,0.005758715267467277,2024-05-18 17:04:24.695042,2024-05-18 17:04:30.109028,0 days 00:00:05.413986,995,0.726740271625143,0.1884858330372915,1,COMPLETE
56,56,-1.4874677535722576,0.008047695383454697,2024-05-18 17:04:30.109028,2024-05-18 17:04:35.090417,0 days 00:00:04.981389,845,0.9402385232787726,0.1485530947831546,1,COMPLETE
57,57,-631.1362394119631,0.0776145004860699,2024-05-18 17:04:35.090417,2024-05-18 17:04:40.483249,0 days 00:00:05.392832,940,0.31362618088107863,0.3947185068047774,1,COMPLETE
58,58,-1.574911958417045,0.007877211958529268,2024-05-18 17:04:40.483249,2024-05-18 17:04:42.782197,0 days 00:00:02.298948,269,0.7152838931741237,0.38915820469914,1,COMPLETE
59,59,-0.6937216476958625,0.0066537845716055114,2024-05-18 17:04:42.782197,2024-05-18 17:04:48.129880,0 days 00:00:05.347683,919,0.5355906172391094,0.8125902106079902,1,COMPLETE
60,60,-0.8590748190003128,0.006776028202236673,2024-05-18 17:04:48.129880,2024-05-18 17:04:51.377841,0 days 00:00:03.247961,512,0.5123777599152304,0.5290957800308878,1,COMPLETE
61,61,-0.5101773597318624,0.006261197219158696,2024-05-18 17:04:51.377841,2024-05-18 17:04:56.541347,0 days 00:00:05.163506,869,0.3690333970215378,0.6670405134632346,1,COMPLETE
62,62,-0.4919171332044899,0.006106997923350959,2024-05-18 17:04:56.541347,2024-05-18 17:05:00.956933,0 days 00:00:04.415586,673,0.536964049611274,0.24541209858918644,1,COMPLETE
63,63,-1.020940561822501,0.007171485372720968,2024-05-18 17:05:00.956933,2024-05-18 17:05:06.187989,0 days 00:00:05.231056,873,0.6245980682205243,0.7571666721826962,1,COMPLETE
64,64,-0.5160885054160828,0.006272916847946371,2024-05-18 17:05:06.203646,2024-05-18 17:05:10.652683,0 days 00:00:04.449037,708,0.3556894660822971,0.1390401654120803,1,COMPLETE
65,65,-0.2902869032661487,0.005771429656380678,2024-05-18 17:05:10.652683,2024-05-18 17:05:14.125560,0 days 00:00:03.472877,612,0.6741721442127685,0.8635801180660567,1,COMPLETE
